"1","129","5","3","6","45","Riparimi i kanalizimit fekal në fsh. Greme lagjja Karametaj,  fsh.Gaçkë- lagjja Halilaj, furnizimi me gypa ne fsh. Bibaj dhe hapja e shtratit te lumit Nerodime te Ura e Dudit- Ferizaj","6.05.2015","10000","0","0","Pro & Co group Sh.P.K.","","1","1","1"
"1","128","5","3","6","45","Pastrimi dhe zgjerimi i kanalizimit ne fsh. Pojatë- Softaj ","07.05.2015","10000","0","0","Real company","","1","1","1"
"1","130","5","3","6","45","Rregullimi i dyshemes në shf. Ahmet Hoxha dhe furnizimi -montimi i një dere në shf. Dy dëshmorët Ferizaj","7.05.2015","9990","0","0","N.T. P. Bali commerce","","1","1","1"
"2","025 2014","2","2","1","72","Mbikqyrja dhe servisimi i paisjeve të teknologjisë informative për nevoja të Administratës Komunale dhe institucioneve tjera ne kuader te komunes se Ferizaj ANEKS","","0","0","5887.8","N.Sh. Gashi com.","","","",""
"2","026 2014","1","2","1","30","Furnizimi me paisje te teknologjise informative për nevoja të Administratës Komunale dhe institucioneve tjera ne kuader te komunes se Ferizaj ANEKS","","0","0","35243","N.Sh. Data Prog Net","","","",""
"2","026 2014","1","2","1","30","Furnizimi me ngjyra- tonera per printera etj. ANEKS","","0","0","30000","N.T. Rilindja commerce","","","",""
"2","93","1","2","1","1","Furnizimi i fermerëve me koshere të bletëve- Ferizaj","18.08.2015","20000","22140","0","Maili I","","1","1","1"
"2","065 2014","5","2","5","45","Asfaltimi dhe rregullimi  i trotuarit në rrXhevë Lladrovci - ANEKS","15.05.2015","0","0","10625.1","NTP Rahovica commerce","","","",""
"2","101","5","2","1","45","Asfaltimi i rr. në Fshatin e Vjetër- Lagjja e Prelezëve (krahu i parë)","18.05.2015","80000","52803","5086","NNP Strassen & Tiefbau","","1","",""
"2","148","5","3","6","45","Izolimi i mureve të hapësiarve për aparatin e mamografisë ","26.05.2015","10000","9750","0","Toni com SHPK","","1","1","1"
"1","154","5","3","6","45","Rregullimi i deops në shf. Ali Hadri fsh. Mirash","28.05.2015","8000","9700","0","NTSH Rinasi","","1","1","1"
"2","124","2","2","1","93","Dezinfektimi, dezinsektimi dhe deratizimi i hapësirave publike në qytet dhe objekte","02.06.2015","50000","105000","0","NPP Ekologjia","","1","1","1"
"2","044  2014","5","2","1","45","Asfaltimi dhe kanalizimi atmosferik në rr.  Enver Topalli- projekt dy vjeçar- ANEKS","04.06.2015","","18858.23","0","NTP Begisholli","","","",""
"2","186","5","3","6","45","Krijimi i hapësirave të gjelbra te ish Qendra Rinore","11.06.2015","24966.9","9947.5","0","Murseli company sh.p.k.","","1","1","1"
"1","168","5","3","6","45","Vazhdimi i rregullimit të kanalizimit fekal në fsh. Manastirc - krahu 8  dhe 9","15.06.2015","10000","9018.1","0","Pro ing. SHPK","","1","1","1"
