,80,1,3,6,15,"""Menaxhimi i parkingut përballe Komunës""",20.01.2012-20.01.2014,1680,1680,,"""A-Shehu""",Gjakove,1,1,1
1,78,5,1,1,50,"""Renovime të ndryshme të objekteve në Komunën e Gjakovës""",19.01.2012-19.01.2013,680000,680000,,"""Korben""&""Magg Holding""",Gjakove,1,2,1
2,2,1,1,1,23,"""Furnizim vjetor me derivate të naftës për nevojat e automjeteve zyrtare të Komunës së Gjakovës""",01.03.2012-01.03.2013,155000,155000,,"""D&Z""","Meje,Gjakove",1,1,1
2,3,1,2,1,33,"""Furnizimi vjetor i laboratorit hematologjik biokimik pranë QKMF-së me reagensa dhe material shpenzues""",15.03.2012-15.03.2013,25000,25000,,"""Keis Pharmaceutical""",Prishtine,1,2,1
,4,2,2,1,93,"""Menaxhimi i parkingjeve  në rrugët ""N.Tereze"" dhe ""M.Barleti""",01.03.2012-01.03.2014,17100,17100,,"""Anza""",Deqan,1,1,1
1,5,2,2,1,60,"""Tërheqja me merimangë dhe ruajtja e automjeteve të sekuestruara nga policia""",04.04.2012-04.04.2013,5000,5000,,"""Diki""& ""Drini""","Lipovec,Gjakove",1,1,1
2,6,2,3,6,36,"""Veprimtaria kulturore me rastin e 17 Shkurtit-Ditës së Pavarësisë së Kosovës""",16.02.2012,3090,3090,,"""Almiri-AS""",Gjakove,1,1,1
3,7,5,2,1,45,"""Ndërtimi -Asfaltimi i rrugës në fshatin Planqor""",27.03.2012,24000,24000,,"""Kag Asphalt Co""",Prizren,1,1,1
1,7,5,2,1,45,"""Ndërtimi -Asfaltimi i rrugës në fshatin Planqor""",27.03.2012,331864.96,204608.11,,"""Kag Asphalt Co""",Prizren,1,1,1
2,8,2,2,1,34,"""Riparimi dhe mirëmbajtja e automjeteve zyrtare për nevojat e Komunës së Gjakovës""",13.03.2012,45000,45000,,"""Golf-X'",Gjakove,1,1,1
1,9,5,1,1,50,"""Sanimi i rrugëve të asfaltuara në Komunën e Gjakovës""",13.04.2012-13.04.2014,500000,500000,,"""Joos Krasniqi  Limited Construcion""",Gjakove,1,1,1
2,10,1,3,6,18,"""Furnizim me rroba pune """,05.03.2012,1830,1830,,"""Bigstar""",Gjakove,1,1,1
1,11,5,3,1,50,"""Rregullimi i nxemjes qendrore në konvikt dhe disa shkolla""",06.03.2012,6923,6923,,"""Korben""&""Magg Holding""",Gjakove,1,1,1
2,12,1,3,6,28,"""Furnizim me stufa për shkolla""",14.03.2012,8750,8750,,"""Nobeli""",Gjakove,1,1,1
3,13,5,2,1,45,"""Ndërtimi-Asfaltimi i rrugës Rripaj - Jahoc""",11.04.2012,19000,19000,,"""Asfalti""",Peje,1,1,1
1,13,5,2,1,45,"""Ndërtimi-Asfaltimi i rrugës Rripaj - Jahoc""",11.04.2012,208076.8,129435.3,,"""Asfalti""",Peje,1,1,1
1,14,1,3,6,22,"""Furnizim me material të shtypur zyrtar""",21.03.2012,9635,9635,,"""Erpo Print""",Gjakove,1,1,1
3,15,5,2,1,45,"""Ndërtimi-Asfaltimi i rrugës në fshatin Meje""",17.04.2012,12000,12000,,"""Renelual Tahiri""",Prizren,1,1,1
1,15,5,2,1,45,"""Ndërtimi-Asfaltimi i rrugës në fshatin Meje""",17.04.2012,182126.39,81619.2,,"""Renelual Tahiri""",Prizren,1,1,1
2,16,2,1,1,93,"""Mirëmbajtja e rrugëve urbane në Komunën e Gjakoves""",15.05.2012-15.05.2014,250000,250000,,"""Qabrati""",Gjakove,1,1,1
1,17,2,3,6,92,"""Manifestimi tradicional kushtuar dëshmoreve të kombit me 24 Mars në Gllogjan""",23.03.2012,2320,2320,,"PM ""Audio Studio Dugi""",Gjakove,1,1,1
2,18,2,3,6,60,"""Transport vjetor për veprimtari kulturore,rinore si dhe arsimtar dhe nxënës të shkollave""",30.03.2012-30.03.2013,9500,9500,,"""Armend Tours""",Gjakove,1,1,1
1,19,1,3,6,3,"""Furnizim me kompjutera dhe printera""",04.04.2012,9796,9796,,"""Nobeli""",Gjakove,1,1,1
3,20,5,2,1,45,"""Ndërtimi -Asfaltimi i rrugës lokale në fshatin Moglice """,30.04.2012,16000,16000,,"""Renelual Tahiri'",Prizren,1,1,1
1,20,5,2,1,45,"""Ndërtimi -Asfaltimi i rrugës lokale në fshatin Moglice """,30.04.2012,138204.05,89855.11,,"""Renelual Tahiri'",Prizren,1,1,1
2,21,1,3,6,30,"""Riparimi i aparateve fotokopjuese në Komunën e Gjakovës""",13.04.2012-13.04.2013,8000,8000,,"""Amitech Copy Service""",Prishtine,1,1,1
1,22,1,3,6,17,"""Furnizim me perde trakë dhe roletne zeber""",11.04.2012,9850,9850,,"""Genci Rol""",Prishtine,1,1,1
1,23,1,3,6,20,"""Furnizim me inventar""",17.04.2012,9580,9580,,"""Ardi""",Gjakove,1,1,1
1,24,5,3,1,50,"""Renovimi i shkallëve në objektin e Komunës së Gjakoves""",02.05.2012,9977.04,9977.04,,"""Korben""&""Magg Holding""",Gjakove,1,1,1
2,25,1,3,6,19,"""Furnizim me tepison gome  për sh.f.""Ferhat Binishi"" në fshatin Bardhaniq""",24.05.2012,1770.2,1770.2,,"""NOA""",Gjakove,1,1,1
2,26,1,3,6,31,"""Furnizimi-Mirëmbajtja e sinjalizimit me drita (semaforëve) """,27.08.2012-27.08.2014,10000,10000,,"""Jame""",Prishtine,1,1,1
3,27,5,1,1,45,"""Ndërtimi-Asfaltimi i rrugëve në fshatin Brekoc""",27.06.2012,35000,35000,,"""Arfa""",Deqan,1,1,1
1,27,5,1,1,45,"""Ndërtimi-Asfaltimi i rrugëve në fshatin Brekoc""",27.06.2012,482717.51,273479.12,,"""Arfa""",Deqan,1,1,1
1,28,5,2,1,45,"""Ndërtimi-Asfaltimi i rrugës lokale në fshatin Smolicë""",12.06.2012,139739.6,98010.02,,"""Euroasphalt""","Marmull,Gjakove",1,1,1
2,29,1,2,1,33,"""Furnizim me material shpenzues  stomatologjik për laboratorin stomatologjik në QKMF""",04.07.2012-03.07.2013,16000,16000,,"""EL - Dental""",Gjakove,1,1,1
2,30,1,3,6,15,"""Menaxhimi i bufes në Komunën e Gjakoves""",16.11.2012-16.11.2013,9000,9000,,"""Roni-Timi""","Sheremet,Gjakove",1,1,1
2,31,1,3,6,22,"""Botimi i monografisë te KL""Gjon Nikolle Kazazi""",22.05.2012,2100,2100,,"""Erpo Print""",Gjakove,1,1,1
3,32,5,1,1,45,"""Ndërtimi - Asfaltimi i rrugës në lagjen ""Pepaj"" në fshatin Brekoc""",02.07.2012,20000,20000,,"""Euroasphalt""",Gjakove,1,1,1
1,32,5,1,1,45,"""Ndërtimi - Asfaltimi i rrugës në lagjen ""Pepaj"" në fshatin Brekoc""",02.07.2012,508764.46,264266.06,,"""Euroasphalt""",Gjakove,1,1,1
1,33,2,2,1,93,"""Mirëmbajtja e objektit të QKMF-së,QMF-ve,AMF-ve dhe QPS-së """,12.06.2012-12.06.2013,82416,82416,,"""Omi Impex""","Gjinoc,Suhareke",1,2,1
2,34,1,3,6,20,"""Furnizim me karriga dhe inventar""",29.05.2012,8796,8796,,"""Nobeli""",Gjakove,1,1,1
2,35,2,3,6,92,"""Koncert-Spektakel i Shkelzen Dolit në shenjë të kremtimit të 100 vjetorit të Pavarësisë së Shqiperisë""",29.05.2012,7950,7950,,"""E.Z.Vision""",Gjakove,1,1,1
3,36,5,2,1,45,"""Ndërtimi - Asfaltimi i rrugës në fshatin Dol-Kusar""",29.06.2012,14500,14500,,"""Euroasphalt""",Gjakove,1,1,1
1,36,5,2,1,45,"""Ndërtimi - Asfaltimi i rrugës në fshatin Dol-Kusar""",29.06.2012,246869.9,119353.9,,"""Euroasphalt""",Gjakove,1,1,1
2,37,1,2,1,36,"""Furnizim me banka,karriga dhe tabela shkrimi për shkolla""",08.08.2012-08.08.2013,30000,30000,,"""Metali""",Viti,1,1,1
2,38,2,3,6,93,"""Mirëmbajtja dhe mbushja e klimave në objektet e Komunës së Gjakovës""",11.06.2012-11.06.2013,4000,4000,,"""Andi""",Gjakove,1,1,1
1,39,1,3,6,37,"""Furnizim me vazo betoni""",18.06.2012,7000,7000,,"""Alba park'","Shupkovc,Mitrovice",1,1,1
1,40,1,3,6,17,"""Furnizim me flamuj,shtiza dhe rikuizita sportive""",11.06.2012,5850,5850,,"""Nobeli""",Gjakove,1,1,1
2,41,2,3,6,92,"""Koncert për 14 Qershorin - Dita e Qlirimit të Gjakovës""",14.06.2012,5850,5850,,"""Almiri As""",Gjakove,1,1,1
1,42,1,1,1,22,"""Furnizim me material shpenzues administrativ për nevojat e Komunës së Gjakovës""pj.III-të",26.07.2012,65000,65000,,"""Erpo Print""",Gjakove,1,1,1
2,42,1,1,1,21,"Furnizim me material shpenzues administrativ për nevojat e Komunës së Gjakovës"", pj.I-rë ",24.08.2012-24.08.2014,50586,50586,,"""SN Computer""",Gjakove,1,2,1
2,42,1,1,1,30,"""Furnizim me material shpenzues administrativ për nevojat e Komunës së Gjakovës"" pj.II-të",24.08.2012-24.08.2014,76400,76400,,"""SN Computer""",Gjakove,1,2,1
3,43,5,2,1,45,"""Ndërtimi-Asfaltimi i rrugës në fshatin Dol - Lagjia Bardheci""",16.07.2012,10100,10100,,"""Euroasphalt""",Gjakove,1,1,1
1,43,5,2,1,45,"""Ndërtimi-Asfaltimi i rrugës në fshatin Dol - Lagjia Bardheci""",16.07.2012,244088.25,239276.3,,"""Euroasphalt""",Gjakove,1,1,1
1,44,5,2,1,45,"""Ndërtimi i QMF-së ""Qabrati"" """,16.07.2012,97818.52,67523.27,,"""Magg Holding""",Prishtine,1,1,1
1,45,5,2,1,45,"""Ndërtimi -Asfaltimi i rrugës në fshatin Dujakë""",16.07.2012,77939.82,43169.33,,"""Joos Krasniqi""","Meje,Gjakove",1,1,1
2,46,1,2,1,2,"""Furnizim me dru për ngrohje (bungu) dhe sharritja e tyre për nevojat e Komunës së Gjakovës""",16.07.2012,108987,108987,,"Bushgegu""",Prishtine,1,1,1
2,47,1,2,1,31,"""Furnizimi dhe mirëmbajtja e ndriqimit publik në Komunën e Gjakovës""",30.08.2012-30.08.2013,50000,50000,,"""Albi Ing""",Prishtine,1,1,1
1,48,5,2,1,50,"""Renovimi i dyshemeve në salla të edukatës fizike""",16.10.2012,16940,16940,,"""Albi Company""",Rahovec,1,2,1
1,49,1,2,1,15,"""Furnizimi me material ushqimor,higjenik,mish dhe bukë për nevojat e Komunës së Gjakovës"" pj.I-rë-Furnizim me material ushqimor ",11.10.2012-11.10.2013,40000,40000,,"""Dujaka Lux""",Gjakove,1,2,1
1,49,1,2,1,15,"""Furnizimi me material ushqimor,higjenik,mish dhe bukë për nevojat e Komunës së Gjakovës"" pj.II-të-Furnizim me material higjenik ",11.10.2012-11.10.2013,23000,23000,,"""Dujaka Lux""",Gjakove,1,2,1
1,49,1,2,1,15,"""Furnizimi me material ushqimor,higjenik,mish dhe bukë për nevojat e Komunës së Gjakovës"" pj.III-të-Furnizim me  me mish",13.08.2012-13.08.2013,18000,18000,,"""Ilirida""",Gjakove,1,2,1
1,49,1,2,1,15,"""Furnizimi me material ushqimor,higjenik,mish dhe bukë për nevojat e Komunës së Gjakovës"" pj.IV-të-Furnizim me bukë",13.08.2012-13.08.2013,8000,8000,,"""Mabes """,Gjakove,1,2,1
